_supply_id,_name,_category
1111058670,High-density foam roll,Upholstery
1555914159,Stainless steel screws #10,Hardware
917106876,Water-based wood varnish,Finishes
590022227,Nylon upholstery thread,Upholstery
949541885,Solid oak lumber boards,Lumber
2140434213,Tempered glass sheet 36x36,Glass
1002281585,Metal corner L-brackets (8-pack),Hardware
296894166,Outdoor weatherproof fabric,Upholstery
1973372243,Plastic dowels assorted pack,Hardware
75628899,Memory foam cushion cores,Upholstery
1449861400,Steel tubing 1-inch diameter,Metal
1965788587,Plastic resin pellets,Plastics
1395832543,Sheet metal aluminum,Metal
1852649227,Decorative veneer sheets,Finishes
624229913,Plywood sheets 4x8,Lumber
122449514,Liquid wood glue (gallon),Adhesives
334012163,Decorative metal handles (set of 4),Hardware
746040528,Protective furniture wax polish,Finishes
2004261515,Upholstery staple kit,Upholstery
1460010996,Wood stain dark walnut,Finishes
1967504303,Metal hinge pack universal,Hardware
1825566278,Elastic webbing strips,Upholstery
564525821,Heavy-duty zippers (5-pack),Upholstery
216033891,Reinforced cardboard packaging,Packaging
1585434146,High-tensile rivets (100-pack),Hardware
964329832,Spray adhesive multi-purpose,Adhesives
1731703032,Rubber foot pads (set of 4),Hardware
1887427247,Velcro strips heavy-duty,Fasteners
1450122760,Glass cutter scoring tool,Glass
240999675,Metal paint matte black,Finishes
384320020,Ceramic tile sheets,Materials
264524157,Beech lumber boards,Lumber
1695653374,Stainless nuts and washers (200-pack),Hardware
1397477593,Galvanized steel chain loops,Hardware
1902192812,Powder coat paint white,Finishes
221840512,Cork sheets 4mm,Materials
1635103543,Rubber grommets assorted pack,Hardware
195487334,Cotton muslin fabric rolls,Upholstery
292615913,High-gloss lacquer spray,Finishes
1153432404,Composite MDF boards 4x8,Lumber
403426242,PVC edge banding roll,Finishes
788437782,Brass decorative tacks (50-pack),Hardware
440245421,Thermal insulating foam board,Insulation
612236153,Wire mesh 12x24 sheets,Metal
1310024925,Heavy-duty cardboard corner protectors,Packaging
1285982202,Silicone adhesive sealant,Adhesives
1698051679,Decorative leather strips,Upholstery
398379734,Rubberized paint coating,Finishes
709443528,Steel angle iron bars,Metal
781772706,Plastic laminate sheets,Finishes
1851247456,Heat-reflective paint additive,Finishes
966850553,Threaded insert nuts (50-pack),Hardware
1538710074,Triple-stitched canvas fabric,Upholstery
768165394,Eco-friendly water-based primer,Finishes
2087541309,Self-adhesive felt pads,Hardware
904505311,Nonskid silicone mats,Protective
1423980125,Dye-sublimation upholstery prints,Upholstery
1780300954,Solid brass handle set (4-pack),Hardware
1954590853,Steel reinforcement rods,Metal
422235744,Velvet fabric premium grade,Upholstery
1962611445,Powdered wood filler,Adhesives
1584219169,UV-cured resin coating,Finishes
160013156,Fiberboard back panel sheets,Lumber
1448105807,Synthetic rattan spool,Upholstery
1699283010,Magnetic cabinet latch kit,Hardware
